,203_C1_D15,204_C1_D15,207_C1_D15,208_C1_D15,209_C1_D15,303_C1_D15,304_C1_D15,305_C1_D15,302_C1_D15,401_C1_D15,402_C1_D15,403_C1_D15,101_C1_D15,102_C1_D15,103_C1_D15,104_C1_D15,108_C1_D15,112_C1_D15,117_C1_D15,118_C1_D15,123_C1_D15,124_C1_D15,128_C1_D15,129_C1_D15,130_C1_D15,131_C1_D15,133_C1_D15,134_C1_D15
TAGLN2,0.41,-0.19,-0.1,0.63,0.18,0.13,-0.38,-0.88,-0.61,0,0.01,-0.58,0.81,0.59,-0.34,-0.08,-0.85,0.72,0.09,-0.57,0.98,-0.22,0.2,0.27,-0.1,-0.34,0.78,-0.14
CD48,0.35,0.18,-0.6,-2.15,0.7,-1.42,0,-0.14,2.15,-0.55,0.83,0,0,2.21,1.3,0.94,0.24,-1.71,-0.56,2.01,0.09,0.07,-0.27,0.35,-0.59,0.24,-0.1,-0.4
IQCC,-0.58,-0.06,-0.3,0.3,0,0.48,-0.72,-0.17,-0.45,-0.12,-0.12,0,-0.48,-0.77,-2.05,-0.74,0,0.65,0.61,0,-0.43,-0.06,0.32,0.32,0.31,-0.73,0.24,-0.83
HCRTR1,-0.34,0.06,-0.54,0.11,0.58,-0.29,-0.35,-0.54,0.34,0.26,-0.04,-0.17,-0.01,0.01,0.07,0.01,-0.01,-0.18,0.32,0.27,-0.3,0.01,0.23,-0.18,-0.35,-0.61,0.34,0
RAVER2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STK40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSUN2,-0.23,0,0.4,-0.01,-0.42,0.54,-0.15,-0.26,0,0,0.3,-0.26,-0.07,0.34,-0.21,0.15,0.2,0.21,0.31,-0.27,0.37,0.09,0.34,-0.33,0.25,0.19,0.34,0.05
MTF1,-0.17,-0.16,0.51,0.29,-0.32,0.17,-0.05,0.51,-0.24,-0.49,-0.06,-0.3,-0.21,0.47,-0.16,-0.14,0.43,0.22,0.27,-0.79,1.13,0.07,-0.17,0.04,0.11,-0.18,0.54,-0.16
LINC00339,-1.48,1.13,-0.38,1,1.06,0.53,0.12,-0.38,0.83,0.51,-0.24,0.43,-0.18,0.18,-0.27,-0.47,-0.99,0.35,0.57,0.66,-1.56,0.18,-0.32,0.32,0.67,-0.07,-0.01,0.18
SRM,-0.58,0.32,-0.08,-0.68,0.15,0.78,0.32,-0.6,-0.3,0.07,-0.25,-0.37,-0.27,0.92,0.75,0.12,0.1,0.17,0.58,-0.42,-0.9,0.18,-0.04,0.01,0.07,0.06,0.24,0
PDE4B,-1.45,-0.7,0.58,3.25,1.21,0.07,0.36,-1.3,0.04,1.38,-1.47,0.27,1.48,0.1,-1.15,-0.42,-0.24,0.34,1.6,-0.7,-0.39,-0.33,1.22,0.23,0.13,0.56,0.35,-0.86
GBP5,0,-0.29,-0.53,-0.69,-0.07,-1.8,-0.34,-0.53,0,-1.89,1.44,-0.57,0.36,2.19,0.57,1.36,1.25,-1.1,-0.14,0,-0.1,-0.55,-0.81,-0.58,-1.17,0.18,-0.6,0.82
ADORA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOS1AP,0.1,0,0.57,-0.34,-1.22,0.45,0.44,0.55,-0.96,0.21,1.02,-0.26,1.6,-0.93,-1.34,-0.17,-1.74,1.45,-0.26,0,0,-0.45,-1.17,-0.65,0.04,0.86,-1.02,-0.03
SCYL3,1.01,-0.07,-0.2,0,0,-0.67,0,0.46,0.42,0,-0.1,0,1.4,-0.97,-1.43,-0.35,0.7,0,-0.01,0.39,-0.2,-0.59,0,0.08,-0.09,0,-0.17,-0.07
MGC4473,0.12,0.09,-0.36,0.85,0.83,-0.05,0.38,0.43,-0.06,-0.09,-0.29,0.28,0.33,0.11,1.65,-0.99,-0.67,2.59,-0.8,-0.12,0.88,0,-0.09,-0.29,0.28,-0.54,0.9,0.81
TADA1,-0.16,0,-0.76,0.94,-1.01,-0.11,-0.52,0.07,0.46,0.84,-0.57,0.23,0.58,-0.85,-1.11,-0.3,-0.25,0.1,-0.2,0.65,0.13,-0.08,-0.17,-0.24,0.16,-0.47,-0.39,-0.27
NUF2,0,-2.49,-2.52,-2,0,-1.97,-2.16,0.98,-2.02,0,-2.29,0.73,-1.26,-0.2,0,-2.04,-1.42,-2.7,-2.58,-1.55,-2.16,-1.56,-1.7,-1.35,-0.47,-1.62,-1.35,-2.16
CSRP1,-0.61,0.38,-0.43,0.12,0.28,-0.95,0.24,-0.13,-0.3,0,0,-0.16,0.28,0.11,-0.82,0.82,-0.22,-0.42,0.24,-1.25,0.16,0.35,0.23,0.76,0.46,0.6,0.73,-0.12
WARS2,-0.65,0.14,-0.19,0.26,0.08,0.13,-0.42,0.34,1.4,0.11,-0.89,0.28,-0.38,-0.54,-0.72,-0.37,-0.5,0.01,0.46,-0.53,0.36,-0.27,0.05,0.17,0.08,-0.1,-0.76,-0.47
OPN3,1.05,0.71,-0.86,-0.34,0.09,-1.98,-0.16,-1.04,0.64,0.34,0,0.23,1.09,1.04,0.76,-0.17,-0.72,-0.84,-1.36,0.42,1.72,-0.16,-0.05,0.01,-0.14,-0.49,0.22,-0.29
C1orf50,-0.32,0.39,0.07,0.1,0.16,-0.14,-0.06,0.16,0.27,0.23,-0.46,0.2,-0.63,-0.13,-0.23,-0.63,-0.2,0.45,0.32,-0.06,-0.6,0.17,0.27,0.09,0,-0.56,0.38,-0.48
KDM4A,-0.45,-0.72,-0.06,-0.79,0.05,0.05,-0.39,0.38,-0.7,0.14,0.04,-0.26,-0.41,0.55,0.32,-0.17,0.43,0.05,-0.26,-0.43,0.15,0,-0.04,-0.11,-0.53,-0.37,0.05,-0.85
HPDL,-0.3,4.58,-0.62,-0.81,0.29,0.15,0.05,-0.39,0,-0.08,-0.24,-0.16,-0.6,1.24,0,-0.52,0.32,0.04,0.01,0.21,0.13,0.56,0.38,0.09,-0.26,-0.44,-0.49,-0.19
KIAA0907,-0.02,-0.12,0.29,0.96,-1.08,0.02,0.11,0.56,-0.14,0.45,0.14,0.11,1.39,0.01,-0.67,0.32,-0.2,0.6,-0.43,-0.94,-0.38,-0.25,-0.21,-0.32,0.67,0.27,-0.24,1.2
PPIE,-1.02,1,-0.29,0.81,0.21,0.85,0.47,-0.1,-0.06,0.18,0,0.18,-0.52,-0.36,-0.08,-0.2,0.35,0.62,0,-0.08,-0.74,-0.05,-0.27,0.08,0.17,0.09,-0.56,-0.4
CD53,0.08,1.32,-0.01,-0.57,1.44,-1.79,0.34,-1.21,0.8,-0.8,0.93,0.34,-0.07,1.71,1.85,0.76,0.07,-0.68,-0.61,0.8,-0.03,-0.18,-0.24,-0.01,-0.51,-0.29,0.64,-0.09
DRAM2,-0.19,1.67,-0.24,0.45,0.13,0.18,0.33,-0.72,2.27,0.53,0.33,0.62,-0.29,-0.36,0.04,-0.16,-0.01,-0.21,0.5,-0.32,0.29,-0.35,-0.15,0.41,0.83,-0.19,0.13,0
CD1D,-1.52,3.44,0.03,-0.34,0.61,-1.05,0.15,-0.01,1.67,0.2,-0.45,0.65,-1.4,1.01,2.01,-0.46,-1.5,-0.46,-0.18,0.46,-1.03,-0.2,0.82,0.26,0.01,-0.02,-0.38,-0.78
SNHG12,-0.25,-0.07,-0.01,-0.44,0.17,-0.9,0.76,-0.29,0.24,-0.38,-0.18,0.2,-0.2,0.95,1.27,0.46,-0.54,0,0.44,-0.52,-0.29,0.28,0.4,-0.42,0.22,0.43,-0.11,0.46
CSDE1,-0.59,1.4,0.25,0.47,0,-0.15,0.18,0.34,0.6,0.19,-0.48,0,-0.4,-0.14,-0.09,-0.26,-0.08,0.03,-0.57,-0.63,0.6,-0.05,0.09,-0.2,0.34,0.15,0.06,0.06
G0S2,-3.32,3.58,3.58,-0.99,-1.12,0.07,2.31,-4.04,2.69,3.73,0.98,-1.1,-2.98,0.2,-0.7,1.68,-1.74,-3.17,1.34,1.31,-3.73,0.68,0.57,0.1,0.3,1.9,-2.02,0.01
SELENBP1,0.41,1.72,0.71,1.54,1.11,0.52,-0.39,-0.28,-0.53,0.3,0.01,-0.29,1.99,-0.81,-1.08,1.84,1.7,1.6,0.83,-0.22,-0.58,-0.38,-0.72,0.94,-0.03,0.08,0.15,-0.15
RPS27,-0.57,-0.49,0,0.65,-0.1,0,0.29,0.34,0.41,0.27,0,0.36,0.53,-0.3,-0.24,0.1,-0.07,0.1,0,0,-0.78,-0.2,0,-0.16,0,-0.06,-0.66,0.08
NUDC,0,0,-0.17,-0.26,0.05,0.35,-0.21,0.02,-0.55,-0.02,0.3,-0.25,-0.31,0.07,0,-0.04,0.19,0.76,0.5,-0.59,-0.34,0.05,0.04,0.22,0.16,-0.27,0.35,-0.6
TAF1A,-0.5,-0.77,-0.41,1.3,-0.33,-0.63,0.12,0.26,0.26,0.56,0.1,0.21,0.68,-0.33,-0.26,0.11,1.14,0.03,-0.81,0.29,-0.62,-0.18,0.25,0,-0.61,-0.19,-0.51,-0.1
C1orf158,-0.21,-0.65,-0.21,-0.23,0.02,0.82,-0.08,0.21,-0.13,0.27,-0.2,-0.01,0.04,-0.21,-0.03,-0.68,0.37,-0.73,0.22,0.28,-0.38,-0.02,-0.25,0.03,0.83,-0.26,-0.37,-0.04
ATAD3B,-0.16,-0.56,-0.15,-0.2,-0.09,0.28,0.08,-0.24,-1.72,-0.41,-0.08,-0.57,0.28,0.68,0.36,0.21,-0.23,0.59,-0.14,-0.4,0.18,-0.38,0.2,0.23,0.14,0.18,0.38,-0.03
COL24A1,1.04,-0.83,0.15,1.02,0.4,-0.27,-0.24,0.84,0,-0.58,-0.46,0.53,0.59,0.09,0.77,-0.53,-0.12,-1.49,0,0,1.01,-0.51,-0.63,-0.44,-0.48,-0.16,0.15,1.32
DEDD,0.25,0.44,-0.03,1.01,-0.11,-0.32,-0.09,0.15,-0.02,-0.05,0.09,-0.23,0.59,0.02,-0.29,0.09,-0.71,0.35,0.28,-0.22,0,0.04,0,0.24,0.06,-0.2,0.24,0
C1orf49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SH3TC2,0,1.19,0.53,0,0,0.06,0.58,-0.2,0,0,-0.38,0.34,0.69,-0.77,0,-1.23,-1.04,-1.77,1.35,0,0.33,0.34,4.04,0.65,0.34,-0.05,-0.89,-0.46
EYA3,-1.09,-0.48,0.06,0.02,0.15,0.09,-0.41,-0.59,0,0.21,0.02,0,-0.72,-0.07,0.84,0.02,1,-0.23,0.05,-0.15,0.21,0.03,-0.04,0.39,0.05,-0.31,0,-0.04
PARK7,0,0.2,0.09,0.68,0,0,-0.13,0,-0.18,-0.01,-0.1,0.45,-0.52,-0.4,-0.17,-0.24,-0.95,0.61,0.15,-0.25,0.04,-0.01,0.2,0.28,0,-0.27,0.08,-0.4
HTR6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C1orf54,0.08,0.38,0.16,-0.56,1.11,-2.3,0.86,0,1.02,-0.19,0,0.66,-0.22,0.49,1.55,0.21,-0.02,-1.43,-0.41,1.02,0.03,-0.18,0.27,0.1,-1.08,0.58,0.01,0.12
ABCD3,-0.56,1.35,-0.3,1.04,-0.49,2.15,0.1,0.82,0.23,-0.46,0,0.93,-0.65,-1.33,-1.44,-0.47,0,0,0.29,-0.22,0.01,0,0,0.07,1.58,-0.24,0.69,0.27
SLC25A24,0.07,-0.23,0.23,0.59,0.09,0,-0.04,0.57,0.15,0,-0.35,0.14,0.06,-0.36,0.01,-0.07,0.2,0.13,0,0,-0.8,0,-0.12,-0.2,0,-0.01,0.28,-0.01
IRF6,0,0.39,-1.23,1.05,-0.97,-0.24,-1.7,1.19,0,0,0.48,-0.16,-0.12,-0.82,0,-0.03,0.86,0.19,-0.33,0,0.28,-1.03,-1.49,-0.1,-0.92,-0.89,-0.49,-0.79
CLCC1,-0.2,0.83,0.2,-0.14,-0.01,0.39,-0.57,1.04,0.26,0.07,-0.11,-0.12,-0.65,0,-0.57,-0.73,0.56,0.52,0.3,-0.65,-0.35,-0.24,0.04,-0.11,-0.65,-0.4,-0.14,-0.72
GJA9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BDP1,-0.34,-1.18,-0.48,-0.42,-0.01,-0.09,0.01,0.53,-0.18,0.1,0.56,-0.52,0.28,-0.1,0.17,0.15,0.46,0.02,0.78,0.05,0.69,-0.33,0.3,-0.56,0,0.18,-0.56,-0.18
IARS2,0.7,0.17,-0.09,1.33,-0.6,0.53,0,0,-0.34,0.48,-0.22,-0.35,0.8,-0.51,-0.98,0.21,2.22,0.69,0.01,0.11,-0.72,-0.35,0,-0.34,-0.15,-0.61,-0.54,-0.31
PIGC,0.85,-0.39,-0.2,-0.07,-0.28,-1.22,0.06,0.52,1.39,0.41,0.62,-0.36,1.09,-0.45,-0.28,-0.07,-1.06,-0.51,0.1,0,-0.21,-0.11,0.23,-0.53,0.17,-0.22,-1.46,0.32
C1orf129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SDC3,-0.38,0.33,-0.2,-0.42,0.99,-0.01,-0.21,-0.95,0.27,-0.1,0.09,-0.02,-0.32,1.21,1.45,1.38,0.74,0.39,0.07,-0.21,-0.23,0.53,0,0.15,-0.61,-0.28,0.3,-0.54
LIN28A,0,-0.51,0.56,0.26,0.53,0.36,-0.61,0.41,0,0.23,-0.39,0.13,-0.34,-0.33,0.11,-0.2,-0.23,-0.14,-0.32,0,-0.78,1.03,0.18,0.7,-0.85,0.45,-0.19,0.05
ESRRG,0,-0.24,-2.57,3.97,0.11,-0.08,0.54,0,0,-0.76,0.06,1.85,1.96,-1.93,0,-0.05,-3.4,0.72,-0.8,0,0.6,-0.21,-1.66,1.81,0,2.53,-1.05,-1.11
URB2,0.21,-0.32,0,0.97,-0.86,-0.17,-0.83,-0.36,0.2,-0.51,-0.06,-0.46,0.67,0.38,-0.93,0.08,-0.11,0.51,0.21,0.35,-0.18,-0.24,-0.07,0.1,-0.15,-0.39,0.28,-0.58
LCE2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR1,-0.06,0.08,-0.98,0.86,0.22,-2.12,-0.81,-1.05,0.19,0.02,0.85,-0.4,1.01,0.15,0.52,0.64,0.34,0.48,-0.17,0.56,-0.94,-0.41,-0.45,0.14,-0.71,-0.77,-0.07,-0.41
KCNH1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RCC2,-0.36,-0.05,0.69,0.22,-0.33,0,-0.2,0.09,-0.06,-0.46,-0.06,-0.37,0.33,0.69,-0.35,-0.03,-0.12,0.3,0.34,-0.98,0.87,0.37,-0.04,0.41,0.44,-0.04,0.68,0.12
RCC2,-0.31,0.02,0.1,0.08,-0.09,-0.23,-0.65,-0.36,-0.14,-0.33,-0.06,-0.11,0.08,0.82,-0.02,-0.14,0.06,-0.06,0.31,-0.49,1.07,0.17,0.13,0.33,-0.14,-0.37,0.39,-0.39
ZNF670,-1.24,-0.41,-0.71,0.76,-0.51,-0.17,-0.11,0.51,0.03,0.56,-0.13,0.16,-0.22,-0.39,-0.1,-0.49,-0.1,-0.44,0.18,-0.58,0.04,-0.02,0.3,-0.28,-0.29,-0.57,-0.02,-0.43
MKX,-0.42,-0.11,0.11,0,-0.07,0.42,0.72,0,0,1.49,0,-0.78,-1.49,0.57,-0.11,1.71,-0.81,0.7,-1.28,0,1.15,0.43,-0.97,-0.01,1.11,-0.41,-0.17,1.05
GAD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSMB,3,4.72,-1.7,-1.03,-1.27,-0.51,-2.1,1.6,-1.33,0.45,3.92,2.46,-0.56,-0.36,0,-0.1,2.65,-1.94,-0.93,1.87,4.97,-1.29,-1.58,-2.02,-0.98,0.82,-1.23,-3.25
REEP3,0.64,0.16,-0.63,0.18,0.57,1.16,-0.24,-0.57,-0.13,-0.33,0.1,0.38,0.48,-0.08,-0.03,-0.71,0.13,0.29,0,0.27,0.26,-0.15,1.02,-0.12,-0.7,-0.32,0.1,-0.7
TIMD4,0,-0.95,-0.67,0,0.54,-0.08,0.83,-1.04,0,-0.67,0.41,0.54,-0.86,1.61,0.02,2.28,0,-1,-0.25,0,0.1,-0.5,-0.51,0.22,-0.38,0.83,1,-0.12
REEP3,0.38,0.31,-0.79,0.12,-0.17,0.34,-0.48,-1.22,-0.56,-0.31,0.25,-0.49,0.21,0.57,0.11,0.08,0.08,0.27,-0.35,0.35,1.77,-0.14,0.44,-0.73,-1.15,-0.06,0.04,0
DCLRE1A,0.14,0.14,-0.34,0.82,-0.21,-0.09,0.07,-0.41,0.41,-0.11,-0.21,0.35,0.06,-0.69,-0.61,-0.15,-0.35,0.68,0.14,-0.1,-0.04,-0.01,0.11,-0.18,0.32,0.01,-0.09,-0.12
GATA3,-0.79,-3.16,0.56,-0.04,-0.67,0.86,-1.37,2.35,-0.28,-0.6,0.73,0.08,0.56,-2.6,-2.96,0.41,0.72,0.68,0.99,-1.11,-1.99,-0.2,-0.56,0.12,0.01,-0.23,-0.04,-0.83
DYDC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF20B,-2.16,0.72,-0.4,0.75,-0.52,-0.09,0.09,-0.4,0.28,0.4,-0.28,0.28,-0.3,-0.13,-1.23,-1.32,-1.16,-0.81,-0.53,-0.97,-0.19,-0.2,0.03,-0.07,0.91,0,-0.29,-0.22
ZMYND11,0.8,-0.75,-0.51,-0.18,0.12,-0.48,-0.65,-0.06,0.21,0.44,0.62,-0.08,-0.21,-0.24,-0.27,-0.05,0.02,0,0.45,0.88,0.44,0.18,-0.23,-0.29,-1.22,-0.15,-0.42,-0.5
PDZD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDZD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100507619,0.54,0.01,0.98,0.97,-0.49,0.39,0.56,0.8,-0.21,0.4,0,0.1,0.56,-0.17,-0.95,-0.6,-0.57,-0.24,1.31,-0.59,0.17,0.07,1.02,-0.29,1.28,0.41,-0.35,0.89
SPAG6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SFXN4,0.52,0.34,-0.38,0.44,-0.27,0.98,-0.32,-1.07,0.1,-0.34,-0.02,-0.05,-0.24,-0.46,0.07,0.09,-0.15,0.52,0.84,0.21,0.18,-0.32,0.14,-0.15,-0.45,-0.42,-0.85,-0.63
C10orf92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NSMCE4A,-0.7,0.56,0.05,-0.23,-0.35,-0.2,0.11,-0.22,0.24,0.4,-0.29,0.32,0.16,-0.15,-0.49,-0.43,-0.67,0.03,-0.31,0.13,0.5,-0.01,-0.51,-0.06,0.3,0.21,-0.34,0
SLC25A28,-0.46,0.18,0.08,-0.07,0.01,0.03,0.2,-0.7,-0.01,-0.28,-0.1,-0.17,0.09,0.82,-0.17,0.35,-0.27,0.4,0.47,-0.34,-0.28,0.03,-0.26,0.03,0.07,-0.35,0.11,0.18
OPALIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPS26A,0.1,0.56,0.4,0.42,-0.04,0.29,0.41,-0.15,0.23,0.19,0.29,0.47,0.1,-0.5,0.21,0.16,-0.66,0.2,0.13,-0.07,0.05,0.09,0,0.18,0.27,0.16,-0.05,0.11
RASSF4,0.15,0.23,0.31,-1.54,1.29,-2.16,-0.11,-0.96,0.97,-0.88,0.82,0.36,0,2.28,1.31,0.52,0.28,-1.09,-0.25,0.65,0.34,-0.39,-0.07,-0.18,-1.47,-0.25,-0.01,0.25
VDAC2,0.28,0.36,0.01,0.35,0.09,0.45,-0.12,-0.24,-0.18,0.03,0.36,0.05,0.26,-0.02,-0.51,-0.13,-0.71,-0.15,0.49,-0.25,0.3,0.1,0.16,-0.15,0.23,-0.3,0.1,-0.45
DPYSL3,0.66,-0.93,-1.03,-0.44,1.06,-2.94,-0.02,-1.59,-0.64,0.23,-1.46,-0.04,0.22,1.53,0.84,-0.15,-0.98,-1.11,-1.65,0.32,0,1.34,0.22,0.16,0.37,-0.05,1.58,1.06
RBP4,-0.61,0,3,-1.44,-0.36,-0.28,0.94,-0.55,1.53,2.74,0.52,-0.68,-0.72,0.01,0.49,1.11,-0.51,-0.87,1.29,0.63,-1.16,0.27,0,0,0.04,1.25,-1.19,0.17
ATAD1,-0.04,-0.21,0.18,0.85,-0.19,-0.08,0.3,0.18,0.46,0.06,0.57,0.48,0.47,-0.51,-0.31,-0.08,0.1,0,0.43,-0.76,0,-0.03,-0.11,-0.08,-0.07,0.54,-0.02,0.05
LHPP,-1.14,1.14,0.57,0.71,0.06,-0.21,-0.37,-0.58,0.19,0.28,0.12,0.14,-0.36,0.3,-0.3,-0.13,-0.73,0.05,-0.15,0.01,0.36,0.21,0.03,0.35,0.62,-0.04,0.35,-0.74
ARHGAP22,0.2,0.07,-0.3,-0.86,1.29,-1.48,0.68,-1.08,0,-0.07,-0.91,0.41,0.13,1.63,1.13,-0.18,-1.19,-0.59,-0.7,-0.56,-0.2,0.37,0.32,-0.57,-1.06,-0.07,0.74,0.89
SGPL1,1.03,0.09,-0.51,0.01,0.43,0.44,-0.85,-1.81,-0.74,-0.94,0,-0.15,0.23,0.46,-0.08,-0.3,3.39,0.33,-0.27,1.67,0.78,-0.52,-0.4,-0.43,0.07,-1.37,0.18,-0.97
HNRNPF,0.06,0.15,-0.01,0.59,-0.28,-0.06,-0.2,-0.52,-0.1,-0.17,0.01,0.18,-0.23,-0.23,-0.46,-0.4,-0.52,0.57,-0.07,0.03,0.4,0.04,-0.11,-0.05,0.81,-0.4,0.35,-0.27
HRH2,0.67,0,-0.28,0,0.52,0.01,0.1,0,-0.02,0.45,-0.24,-0.3,-0.01,-0.07,-0.35,-0.2,0.08,0,0.54,1.18,0.2,-0.14,0.23,0.21,-0.17,-0.02,-0.28,0.18
ADARB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IFITM10,-0.88,0.38,-0.52,-0.31,0.47,-0.29,0.11,-0.11,-0.64,0.42,-0.25,-0.43,-0.27,0.3,1.65,-0.52,-0.73,3.83,-0.13,-1.48,-0.52,0.64,0.6,0.02,0,-0.44,1.82,-0.27
TCIRG1,-1.05,-0.2,0,-0.93,0.11,-2.51,-0.09,-0.51,-0.81,-0.88,-0.07,-0.22,0.33,1.93,1.34,0.48,-1.05,0.61,1.63,-0.15,0.47,0.13,1.68,-0.16,-0.03,-0.19,0.73,0.14
AIP,-0.48,0.1,-0.32,-0.2,0.4,-1.28,0.18,-0.35,-0.34,-0.14,0.38,-0.48,-0.2,0.54,-0.17,0.12,0.14,0.69,1.4,-0.53,-0.28,0.04,0,0.18,0.01,-0.14,-0.01,-0.46
PHRF1,-0.82,-0.43,0.51,-0.38,-0.23,0.29,-0.06,0.08,-0.62,-0.28,0.07,-0.34,0.24,0.62,-0.1,0.42,-0.65,0.6,0.43,-1.45,-0.17,0.21,0.27,0.01,0.44,-0.2,0.43,-0.06
NDUFS3,-0.32,-0.03,-0.17,0.1,-0.1,0.11,-0.14,-0.04,-0.45,-0.04,-0.01,-0.12,-0.03,-0.18,0.11,0.23,0.46,0.2,0.14,0.13,-0.04,-0.17,-0.56,-0.1,0.06,-0.38,-0.21,-0.64
ZFYVE16,0.09,0.05,-0.42,0.3,-0.07,-0.34,-0.08,-0.05,-0.19,0.23,-0.07,0,-0.15,-0.24,0.76,-0.67,-0.47,-0.26,-1.04,0.74,0.54,-0.39,0.24,-0.34,-0.29,0.11,-0.17,0.25
C11orf75,-0.07,1.07,-0.94,1.43,0.66,-0.07,0.3,-1.29,0.3,-0.34,-0.55,0.07,0.3,1.33,0.99,-0.68,-1.09,-1.32,-0.79,0.14,0.68,0.7,-0.07,-0.46,0.21,0.39,0.4,0.86
NUDT22,-0.45,0.19,-0.17,0.16,0.44,-0.26,-0.55,0,-0.36,0.1,0.01,0.18,-0.13,0.08,-0.47,0,0.36,0.46,-0.66,-0.36,-0.23,0.27,-0.23,-0.05,0.09,-0.45,0.33,-0.5
MEN1,-0.49,0.15,0.51,0.1,-0.29,0.14,-0.31,0.01,-0.41,-0.39,0.07,-0.17,0.41,0.51,-0.35,0.2,1.09,1.07,0.02,-0.69,-0.67,0.11,-0.73,0.2,0.38,-0.28,0.46,-0.01
SCYL1,-0.71,0.36,0.02,0.06,0.3,0.04,-0.15,-0.34,-0.76,-0.41,0.04,-0.61,0.33,0.75,0.76,0.96,1.12,1,0.08,-0.45,-0.9,0.35,0.62,0.01,0,-0.29,0.7,-0.72
BRMS1,-0.36,-0.16,-0.49,-0.11,0.13,-0.06,-0.42,-0.08,-0.29,-0.06,-0.02,-0.17,-0.34,0.04,-0.2,0.01,0.14,0.26,-0.31,-0.19,-0.4,0.07,0.49,-0.18,-0.16,-0.3,0.02,-0.29
PPFIA1,-0.69,-0.15,0.42,-0.48,-0.34,1.31,-0.03,0.36,-0.34,-0.28,-0.28,0.07,0.3,0.47,-0.03,-0.08,-0.35,0.32,0.28,1.61,0.1,0.46,-0.56,-0.4,0.27,-0.01,0.07,0
PPFIA1,-0.55,0.83,0.62,0.27,-0.49,1.35,0.02,-0.18,-0.32,-0.7,-0.33,0.12,0.69,0.59,0.17,0.23,0.08,0.97,0.34,1.68,-0.04,0.18,-0.18,-0.08,0.6,0.27,0.34,1.07
CD59,-0.32,0.45,0.01,0.82,0.12,0.15,0.4,0.18,-0.15,0.3,-0.44,0.35,0.1,-0.56,0.03,0.1,0.17,0.01,0.09,1.22,1.23,0.43,-0.27,0.85,-0.17,0.67,0.24,0.33
PKNOX2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPUSD4,-0.42,0.33,0.39,0.31,0.1,-0.38,0.65,0.37,0.18,0.15,-0.78,-0.04,0.37,-0.06,-0.25,-0.3,-0.95,0.23,-0.47,-0.89,-0.46,-0.04,-0.3,0,0.54,-0.03,0.07,-0.05
IL12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP164,-0.4,-0.66,-0.07,-0.2,0.01,-0.48,0.4,0.48,-0.55,-0.23,-0.4,0.11,0.21,0.39,0.24,-0.2,0,0.21,-0.2,-0.61,1.11,-0.01,-0.42,-0.04,0.34,0.28,0.12,0.78
ACSL6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOA5,0,0.13,-0.36,-0.43,0.55,0.72,-0.43,0.65,0,0,-0.87,0.23,-0.59,-0.42,0.09,-0.32,-0.43,-0.07,0.06,0,1.59,-0.02,0.41,0.17,-0.05,0,0.24,-0.45
